    Altium Designer Pick and Place Locations
    C:\Users\baris\OneDrive\Masa�st�\�nfinia Projeleri Yeni\Ahbap M�zesi\AHBAP_GENEL_KART\Ahbap_KontrolKart�_SON\Project Outputs for AHBAP_Yeni\Pick Place for Ahbap_PCB.csv

    ========================================================================================================================
    File Design Information:

    Date:       16.06.23
    Time:       11:03
    Revision:   Not in VersionControl
    Variant:    No variations
    Units used: mm

    "Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
    "D36","SMAJ12CA-TR","TopLayer","FP-SMA-CA-MFG","125.7000","127.3250","90","TVS DIODE 12V 25.3V SMA"
    "R40","Resistor 0R +/- 5% 0805 125 mW","TopLayer","RESC2013X60X35ML10T20","54.5020","103.9845","180","Chip Resistor, 0 Ohm, 0.125 W, -55 to 155 degC, 0805 (2012 Metric)"
    "D47","SMAJ12CA-TR","TopLayer","FP-SMA-CA-MFG","13.5000","108.9000","0","TVS DIODE 12V 25.3V SMA"
    "D46","CDSOT23-SM712","TopLayer","FP-SOT23-MFG","29.3250","10.7000","90","TVS DIODE 7V/12V 14V/26V SOT23-3"
    "D45","CDSOT23-SM712","TopLayer","FP-SOT23-MFG","24.0750","10.7000","90","TVS DIODE 7V/12V 14V/26V SOT23-3"
    "D44","CDSOT23-SM712","TopLayer","FP-SOT23-MFG","73.1250","10.5250","90","TVS DIODE 7V/12V 14V/26V SOT23-3"
    "D43","CDSOT23-SM712","TopLayer","FP-SOT23-MFG","43.0500","11.7500","90","TVS DIODE 7V/12V 14V/26V SOT23-3"
    "D42","CDSOT23-SM712","TopLayer","FP-SOT23-MFG","49.2750","11.7500","90","TVS DIODE 7V/12V 14V/26V SOT23-3"
    "D41","CDSOT23-SM712","TopLayer","FP-SOT23-MFG","68.8000","10.5250","90","TVS DIODE 7V/12V 14V/26V SOT23-3"
    "D40","CDSOT23-SM712","TopLayer","FP-SOT23-MFG","62.8750","10.5250","90","TVS DIODE 7V/12V 14V/26V SOT23-3"
    "R142","10k_603","TopLayer","RESC1608X55X25ML10T15","133.8916","74.7500","180","RC0603JR-070RL"
    "R141","0R_603","TopLayer","RESC1608X55X25ML10T15","102.1000","75.7000","270","RC0603JR-070RL"
    "R140","0R","TopLayer","RESC1608X55X25ML10T15","106.1750","31.4500","90","RC0603JR-070RL"
    "R139","0R","TopLayer","RESC1608X55X25ML10T15","104.5500","31.4250","90","RC0603JR-070RL"
    "P11","L-KLS1-XM1-3.00-2X02-R","TopLayer","66200421022","82.7518","5.3313","0","THT Male Header WR-MPC3, with Snap-in Plastic Pegs, Right Angled, Dual Row, pitch 3 mm, 4 pins"
    "J8","0430450800","TopLayer","0430450800_1","5.7450","117.1000","270","Connector"
    "P10","L-KLS1-XM1-3.00-2X02-R","TopLayer","66200421022","94.4132","5.3313","0","THT Male Header WR-MPC3, with Snap-in Plastic Pegs, Right Angled, Dual Row, pitch 3 mm, 4 pins"
    "J7","0430450800","TopLayer","0430450800_1","26.5349","5.2813","0","Connector"
    "J5","L-KLS1-XM1-3.00-2X04-R","TopLayer","0430450800_1","46.7064","5.2813","0","Connector"
    "J4","0430450800","TopLayer","0430450800_1","66.1374","5.2813","0","Connector"
    "J3","0430450800","TopLayer","0430450800_1","113.8640","5.2813","0","Connector"
    "R13","10 kOhms","TopLayer","RES_0603_1608","134.1120","62.7130","0","RES SMD 10K OHM 1% 1/8W 0603"
    "R6","10k_603","TopLayer","RES_0603_1608","133.9850","67.7930","0","RES SMD 10K OHM 1% 1/8W 0603"
    "R2","1 kOhms","TopLayer","RES_0603_1608","97.5097","70.5907","270","RES SMD 1K OHM 1% 1/10W 0603"
